"C57BL6_0dpi_rep1","C57BL6_0dpi_rep2","C57BL6_1stInf_5dpi_rep1","C57BL6_1stInf_5dpi_rep2","C57BL6_2ndInf_5dpi_rep1","NMRI_1stInf_3dpi_rep1","NMRI_1stInf_3dpi_rep2","NMRI_1stInf_5dpi_rep1","NMRI_1stInf_5dpi_rep2","NMRI_1stInf_5dpi_rep3","NMRI_1stInf_7dpi_rep1","NMRI_1stInf_7dpi_rep2","NMRI_2ndInf_0dpi_rep1","NMRI_2ndInf_0dpi_rep2","NMRI_2ndInf_3dpi_rep2","NMRI_2ndInf_5dpi_rep1","NMRI_2ndInf_7dpi_rep1","NMRI_2ndInf_7dpi_rep2","Rag_0dpi_rep1","Rag_0dpi_rep2","Rag_1stInf_5dpi_rep1","Rag_1stInf_5dpi_rep2","Rag_2ndInf_5dpi_rep1"
"ENSMUSG00000000142",1011,2096,1365,287,1487,6413,12915,3348,7522,7058,423,4263,7472,2623,4178,23221,5583,4632,761,1289,910,1068,1850
"ENSMUSG00000000148",1235,1995,965,348,1267,4119,10582,3037,6601,4612,291,2198,6407,2223,2784,12050,2515,3145,769,1771,1036,1000,1638
"ENSMUSG00000000149",941,1444,838,279,854,3362,8857,2788,4321,4027,211,2085,4832,1695,1940,8759,1887,2120,652,1397,1004,817,1330
"ENSMUSG00000000154",10310,13564,8011,5544,7134,22917,73067,28821,37800,32736,877,6255,49198,21249,13786,75132,7658,21862,8360,21923,10776,9616,9243
"ENSMUSG00000000157",73,92,82,55,33,308,928,678,401,459,13,130,384,98,55,648,32,108,39,82,80,66,94
"ENSMUSG00000000159",1801,2994,2687,1796,1915,8906,23328,19185,13042,22994,735,5027,12172,4593,3820,26670,3031,6640,2089,4776,3637,3349,3546
"ENSMUSG00000000167",74,98,76,12,134,419,1039,299,684,803,46,349,734,213,260,1306,279,271,51,103,83,99,161
"ENSMUSG00000000168",5907,7984,4981,1513,4739,20452,43950,11775,33761,23763,611,6122,31125,7843,9283,55101,8432,11079,3847,5955,5605,4466,7647
"ENSMUSG00000000171",12096,16638,10170,3012,10274,36881,86399,26714,63281,45877,1299,11435,63224,19775,20278,105477,16281,28529,8446,15649,13302,10497,16528
"ENSMUSG00000000182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"ENSMUSG00000000183",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000184",5801,8459,15721,3215,14799,43892,121124,25074,65148,51919,2494,21190,29800,7892,16286,127311,21171,19553,5591,7214,18202,9729,23362
"ENSMUSG00000000194",4300,7469,4617,2706,3247,16781,45301,19098,24632,26201,880,7318,24223,8415,7546,48881,6597,10936,3118,7070,5715,4195,5707
"ENSMUSG00000000197",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000000202",16,6,71,5,89,22,237,101,94,89,46,95,20,9,37,97,49,54,6,8,21,22,99
"ENSMUSG00000000204",1864,2587,49800,14077,5687,24614,103488,549595,29110,339153,5188,21801,3589,1872,4362,92310,3946,9252,20462,21238,20633,22744,18914
"ENSMUSG00000000214",5,9,13,0,7,23,41,3,9,0,0,0,36,19,18,18,30,15,3,4,2,2,21
"ENSMUSG00000000215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000216",15,13,8,0,13,84,22,40,130,26,0,5,47,31,18,91,6,33,0,1,13,0,9
"ENSMUSG00000000223",7,9,20,1,18,125,245,102,164,233,6,58,67,1,48,288,55,58,5,20,20,20,58
"ENSMUSG00000000244",5,17,2,48,13,54,66,100,92,506,51,423,34,58,52,814,358,44,0,2,6,2,4
"ENSMUSG00000000247",0,0,4,1,6,16,46,40,65,57,0,18,8,8,19,225,46,7,2,0,4,0,0
"ENSMUSG00000000248",11,17,13,3,9,206,165,10,139,110,0,44,69,9,14,147,21,29,9,0,4,8,19
"ENSMUSG00000000253",491,690,141,54,191,228,819,341,279,339,25,168,1541,477,323,701,144,416,288,425,171,202,348
"ENSMUSG00000000263",0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"ENSMUSG00000000266",1522,1792,1219,433,477,7305,16118,3150,11682,5889,228,1800,15699,2678,1958,21609,1397,3534,653,1743,982,868,1608
"ENSMUSG00000000275",4185,6712,11794,6755,4537,18610,72895,41372,29348,48185,1539,10827,20603,6610,7011,58217,6333,10416,3697,8933,9030,6392,9102
"ENSMUSG00000000276",536,813,447,213,425,1770,3736,873,2492,2495,107,1040,2722,533,658,5162,839,780,344,588,471,416,996
