,DESeq normalised counts,,,DE of gametocytes over merozoites,,,,DE of gametocytes over sporozoites,,,
gene ID,gametocyte,merozoite,sporozoite,fold change,log2 fold change,p-value,adjusted p-value,fold change,log2 fold change,p-value,adjusted p-value
ETH_00042125,32.9768512543,0,11.915710392,Max,Max,0.0006156291,0.0023143797,2.7675103011,1.4685886869,0.3075125346,0.3854953904
ETH_00026300,1.0094143699,0,0.426365712,Max,Max,1,1,2.3674848647,1.2433552026,0.9141710527,0.940867833
ETH_00001195,1.1334592153,0,0.5846476392,Max,Max,0.9984187647,1,1.938704853,0.9550931853,0.970168694,0.9838088384
ETH_00003285,0.8679583753,0,0.4671013643,Max,Max,0.9970486426,1,1.858179919,0.893890198,0.9366814959,0.9587525143
ETH_00019695,7.5057687791,0,4.4766216662,Max,Max,0.1434345663,0.2203193574,1.6766591727,0.7455894511,0.6829850877,0.748879986
ETH_00035945,120.9201685948,0,74.4998100116,Max,Max,1.63536297842538E-008,1.73905032810643E-007,1.6230936505,0.698746244,0.6053414172,0.6795254144
ETH_00041720,6.297131507,0,5.255661282,Max,Max,0.1974135143,0.2861109853,1.1981615955,0.2608224969,0.9964541003,1
ETH_00021310,2.0188287399,0,1.8684054571,Max,Max,0.7312410394,0.8113636439,1.0805089078,0.111710966,0.9894910854,0.9964532039
ETH_00029960,7.3954128814,0,6.9518027658,Max,Max,0.1084377591,0.1751745953,1.0638122413,0.0892435433,0.7971876348,0.8475879903
ETH_00000140,470.0083087317,0,446.925490347,Max,Max,1.41245041758238E-018,7.04218448635061E-017,1.0516480239,0.0726519297,0.9672188033,0.9816868962
ETH_00013915,309.206079978,0,301.5534344714,Max,Max,2.60274872234636E-010,3.61453262445786E-009,1.0253774112,0.036155021,0.6900271097,0.7547944024
ETH_00004030,13.4270435484,0,14.4098656015,Max,Max,0.0142571954,0.0323347379,0.9317951964,-0.1019152018,0.7813506407,0.8348503289
ETH_00032655,2.8830649135,0,3.1505863283,Max,Max,0.4850698969,0.5916740103,0.9150883718,-0.1280170209,0.943094285,0.9635002956
ETH_00020870,89.46851198,0,135.1390658779,Max,Max,0.0086384375,0.0213365197,0.6620477313,-0.5949928608,0.6472919159,0.71851599
